,Country or Territory,Station Name,WMO Station Number,National Station Id Number,Period,Element-Statistic Qualifier Code,Statistic Description,Unit,Jan,Jan Footnotes,Feb,Feb Footnotes,Mar,Mar Footnotes,Apr,Apr Footnotes,May,May Footnotes,Jun,Jun Footnotes,Jul,Jul Footnotes,Aug,Aug Footnotes,Sep,Sep Footnotes,Oct,Oct Footnotes,Nov,Nov Footnotes,Dec,Dec Footnotes,Annual,Annual Footnotes,Annual NCDC Computed Value,Annual NCDC Computed Value Footnotes,dtype
0,"AFGHANISTAN, ISLAMIC STATE OF",Faiz abad,40904.0,,1961-1983,,Mean Value,%,79.0,,76.0,,71.0,,67.0,,61.0,,43.0,,30.0,,28.0,,33.0,,46.0,,64.0,,72.0,,56.0,,55.8,,humidity
1,"AFGHANISTAN, ISLAMIC STATE OF",Faiz abad,40904.0,,1964-1983,,Maximum Value,%,100.0,,100.0,,100.0,,100.0,,100.0,,99.0,,98.0,,92.0,,98.0,,99.0,,100.0,,100.0,,100.0,,-9999.9,1.0,humidity
2,"AFGHANISTAN, ISLAMIC STATE OF",Faiz abad,40904.0,,1964-1983,,Minimum Value,%,14.0,,15.0,,12.0,,11.0,,10.0,,6.0,,5.0,,5.0,,4.0,,3.0,,6.0,,6.0,,3.0,,-9999.9,1.0,humidity
3,"AFGHANISTAN, ISLAMIC STATE OF",Sheberghan,40908.0,,1959-1983,,Mean Value,%,78.0,,76.0,,71.0,,65.0,,47.0,,34.0,,31.0,,32.0,,35.0,,46.0,,61.0,,74.0,,54.0,,54.2,,humidity
4,"AFGHANISTAN, ISLAMIC STATE OF",Sheberghan,40908.0,,1964-1983,,Maximum Value,%,100.0,,100.0,,100.0,,100.0,,100.0,,96.0,,83.0,,84.0,,93.0,,99.0,,100.0,,100.0,,100.0,,-9999.9,1.0,humidity
5,"AFGHANISTAN, ISLAMIC STATE OF",Sheberghan,40908.0,,1964-1983,,Minimum Value,%,18.0,,21.0,,14.0,,6.0,,3.0,,5.0,,6.0,,7.0,,5.0,,10.0,,6.0,,5.0,,3.0,,-9999.9,1.0,humidity
6,"AFGHANISTAN, ISLAMIC STATE OF",Mazar-i-Sharif,40911.0,,1958-1983,,Mean Value,%,79.0,,77.0,,72.0,,64.0,,44.0,,27.0,,25.0,,24.0,,28.0,,41.0,,62.0,,75.0,,52.0,,51.5,,humidity
7,"AFGHANISTAN, ISLAMIC STATE OF",Mazar-i-Sharif,40911.0,,1959-1983,,Maximum Value,%,100.0,,100.0,,100.0,,100.0,,100.0,,89.0,,91.0,,68.0,,78.0,,99.0,,100.0,,100.0,,100.0,,-9999.9,1.0,humidity
8,"AFGHANISTAN, ISLAMIC STATE OF",Mazar-i-Sharif,40911.0,,1959-1983,,Minimum Value,%,19.0,,17.0,,17.0,,8.0,,8.0,,7.0,,7.0,,6.0,,5.0,,5.0,,9.0,,11.0,,5.0,,-9999.9,1.0,humidity
9,"AFGHANISTAN, ISLAMIC STATE OF",Kunduz,40913.0,,1968-1983,,Mean Value,%,80.0,,75.0,,75.0,,71.0,,54.0,,31.0,,28.0,,29.0,,32.0,,44.0,,63.0,,76.0,,55.0,,54.8,,humidity
10,"AFGHANISTAN, ISLAMIC STATE OF",Kunduz,40913.0,,1958-1983,,Maximum Value,%,100.0,,100.0,,100.0,,100.0,,100.0,,97.0,,97.0,,90.0,,98.0,,99.0,,100.0,,100.0,,100.0,,-9999.9,1.0,humidity
11,"AFGHANISTAN, ISLAMIC STATE OF",Kunduz,40913.0,,1958-1983,,Minimum Value,%,19.0,,21.0,,17.0,,20.0,,10.0,,8.0,,8.0,,8.0,,11.0,,10.0,,12.0,,14.0,,8.0,,-9999.9,1.0,humidity
12,"AFGHANISTAN, ISLAMIC STATE OF",Maimana,40922.0,,1964-1983,,Mean Value,%,75.0,,73.0,,74.0,,68.0,,53.0,,38.0,,34.0,,34.0,,39.0,,49.0,,61.0,,71.0,,57.0,,55.8,,humidity
13,"AFGHANISTAN, ISLAMIC STATE OF",Maimana,40922.0,,1959-1983,,Maximum Value,%,100.0,,100.0,,100.0,,100.0,,100.0,,94.0,,98.0,,87.0,,99.0,,100.0,,100.0,,100.0,,100.0,,-9999.9,1.0,humidity
